Batch,MSID,Date,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
0,RMD8244120CFS,2024-11-05 13:15:31,1.76921428507481,1.7505180973243,1.65605643637828,1.64368211236632,1.75188453359561,1.85049377339216,1.82876843440781,1.67160554201899
1,RMD82441211CS,2024-11-05 13:12:43,1.88565563285694,1.73823252905844,1.74991803528225,1.71010785977051,1.87722250180307,1.87279661283384,1.93506924909989,1.7698439190937
2,RMD82441211AS,2024-11-05 13:09:54,1.86519902572192,1.69148123551868,1.71527785481726,1.66823563294944,1.91448980848273,1.94112301469747,1.90085111839922,1.63184570896784
3,RMD8244221FBS,2024-11-05 13:07:05,1.70092883671664,1.62665194661327,1.63915258986008,1.54024354115973,1.89099305906184,1.87253329093285,1.89360754649082,1.86008563000236
4,RMD8244221FAS,2024-11-05 13:02:52,1.78372590754549,1.68740083956823,1.69974652896454,1.75179560430349,1.86132815277264,1.75124533717686,1.68895859361493,1.81485484111295
5,RMD8244221FDS,2024-11-05 12:59:42,1.70663096881487,1.7877847985025,1.71029373500115,1.39361230047955,1.71151975850117,1.80439175180976,1.82352541216831,1.76830819830365
6,RMD824311300S,2024-11-05 12:53:37,1.67852543927919,1.62959009894307,1.63872131790673,1.58701809311556,1.90351443769143,1.87497800116152,1.81861694832985,1.83050460393102
7,RMD824311307S,2024-11-05 12:50:17,1.44128066835603,1.58522701870337,1.56663962459092,1.47590580463542,1.68411021490512,1.82526186053243,1.802400235367,1.76950272357029
8,RMD824422331S,2024-11-05 12:45:22,1.78082906286085,1.6670755181505,1.64476691788839,1.70103772759678,1.78850912743185,1.69536500797091,1.72351561987739,1.75511597350579
9,RMD824412113S,2024-11-05 09:27:04,1.7999029292898,1.66102754383562,1.60568872260453,1.65720827901267,1.76745644682786,1.57481825895404,1.63900062009132,1.57604167948323
10,RMD824412155S,2024-11-05 09:27:03,2.02068935002002,2.04458635828861,1.91726183656126,1.95495688080474,1.92967611148493,1.89773623172002,1.77718612114081,1.57249318132342
11,RMD8244120FES,2024-11-05 09:23:22,1.95128592664934,2.01983944795644,1.91852175442333,1.68524231696113,1.83461590586463,1.89010437831911,1.80420528869103,1.78290708357942
12,RMD824412124S,2024-11-05 09:23:11,1.86792692405617,1.99259189250822,1.89288742477988,1.81630210456921,1.99785896524596,1.82120939496807,1.90733802934744,1.83667434270963
13,RMD82442233CS,2024-11-04 19:48:39,1.62598343056202,1.61929982599724,1.63180873489993,1.48114665794703,1.65259375923825,1.52866174263343,1.58423848522736,1.5110963210831
14,RMD82442233BS,2024-11-04 19:46:44,1.82075172439561,1.91508658247228,1.78455375578787,1.82470785393419,1.72775998223277,1.79772274111927,1.85826242420246,1.71182144404517
15,RMD824412120S,2024-11-04 19:45:59,1.74809744174303,1.81657244184469,1.90099807100134,1.84603206032036,1.91726301985084,1.79695016856383,1.80550234209666,1.78350483967692
16,RMD8244120FBS,2024-11-04 19:43:15,1.81536145419776,1.91542702551367,1.86749554958788,1.84006463105667,1.78507722796486,1.78363193890761,1.74590946597893,1.53773549706992
17,RMD82442233DS,2024-11-04 19:43:06,1.61772332609133,1.62099297899175,1.81603045508109,1.78274378481056,1.7194811052515,1.65335050537775,1.79985318700569,1.6906663736572
18,RMD8244120FCS,2024-11-04 19:40:06,2.01398579202161,2.03795939650832,1.85269034154833,1.8091765728734,1.74783337907934,1.88263394397801,1.89930781410184,1.11524116681509
19,RMD824412187S,2024-11-04 19:39:38,1.91548888863582,1.92107432420494,1.93815598876165,1.99360321268071,1.95085092364326,1.80580954136719,1.89468638509291,1.90719780258794
20,RMD824412187S,2024-11-04 19:36:19,1.91834817246709,1.91842867899547,1.94096816982262,1.99544334084171,1.95902239528427,1.80140164114289,1.8993538115337,1.91085964239392
21,RMD8244120FCS,2024-11-04 19:29:15,2.03051613994584,2.06505433532494,1.8364756815196,1.74765671719235,1.68515497617883,1.8952698150884,1.92889607506065,1.76291007484715
22,RMD82442233CS,2024-11-04 19:28:46,1.6899414157136,1.67179998679836,1.69898748289898,1.67968072923069,1.57276769734491,1.52535885658552,1.52123704361371,1.49495240725422
23,RMD82442233BS,2024-11-04 19:26:39,1.85996315394595,1.93205735172971,1.77520779949415,1.80569570248479,1.54186088444372,1.76626638076829,1.81106751280494,1.65362414820101
24,RMD824412120S,2024-11-04 19:26:03,1.89639231651347,1.85748289960647,1.90375372573159,1.86155702461666,1.937022057239,1.79430862928425,1.82604031864297,1.80494403987671
25,RMD8244120FBS,2024-11-04 19:23:29,1.7797741858909,1.89285760050936,1.85237332687038,1.78041471759005,1.77631987737021,1.72653575099795,1.72771748230801,1.45923935505048
26,RMD82442233DS,2024-11-04 19:23:25,1.81034994309758,1.69426388801918,1.84081906654502,1.7431646058794,1.74004789547574,1.68873382604375,1.81477366731248,1.70122804180816
27,RMD8244120C8S,2024-11-04 16:04:13,1.69714042028526,1.81717852081831,1.58985472444553,1.80788182386128,1.91261778476051,1.79545473416018,1.83819891298645,1.72563120464048
28,RMD8244120C8S,2024-11-04 16:01:30,1.69845284302709,1.79772861239171,1.5703881798159,1.78703309249875,1.92075604714419,1.80217885452661,1.84398498988344,1.72818500092497
29,RMD82441207CS,2024-11-04 15:57:35,1.89147362454238,1.79763420599839,1.78566702631726,1.72889021590162,1.54922820591186,1.45418612900665,1.72038463359454,1.79904576588633
30,RMD8244120AAS,2024-11-04 15:52:58,1.78231276336064,1.77438733329092,1.72404045825806,1.91879640340563,1.92076811891229,1.75867397460059,1.832465391165,1.78976703005676
31,RMD8244120CAS,2024-11-04 15:49:15,1.78996245744126,1.8781418160353,1.84348562139057,1.81115605741307,1.88583326056033,1.41298570697391,1.35978423219808,1.36378498003678
32,RMD824412115S,2024-11-04 15:49:06,1.57606089116335,1.51731506515826,1.31742343114001,1.34344445310432,1.70979348911024,1.69892877060768,1.79116894545502,1.79584775431603
33,RMD82431124CS,2024-11-04 15:45:19,1.92774400057684,2.02082069470064,1.82356801855637,1.83268863799175,1.73061460160876,1.62635051759744,1.66945031376875,1.632813971724
